id,type,name,description,address,postal_code,city,department,region,latitude,longitude,website,email,period,specialty,events_url,precision,source,source_ref,last_updated
lib-03877,librairie,My City Mangashop,,34 Boulevard De Nesles 77420 Champs-Sur-Marne,77420,Champs-Sur-Marne,77,,48.849251676,2.5820115362,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,500139142,2026-06-28
lib-03886,librairie,Oni No Manga,,21 Rue De La Ferme 77220 Gretz-Armainvilliers,77220,Gretz-Armainvilliers,77,,48.7402325873789,2.72773144075138,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,919191213,2026-06-28
lib-03902,librairie,Bulle De Jeux,,24 Place D'Ariane 77700 Chessy,77700,Chessy,77,,48.856054317,2.7735349436,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,903186377,2026-06-28
lib-03907,librairie,Cbfx Loisirs (Bulle De Jeux),,5 Rue Saint Etienne 77100 Meaux,77100,Meaux,77,,48.9597629045005,2.87915622901805,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,840694004,2026-06-28
lib-03922,librairie,Magna Manga,,51 Rue De France 77300 Fontainebleau,77300,Fontainebleau,77,,48.405082519,2.6966036633,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,820400620,2026-06-28
lib-03936,librairie,Otaku,,27 Rue De France 77300 Fontainebleau,77300,Fontainebleau,77,,48.4047697071674,2.69776684210664,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,497810093,2026-06-28
lib-03971,librairie,Bulle Imaginaire,,80 Rue Louise Michel 78500 Sartrouville,78500,Sartrouville,78,,48.9362257979185,2.16376365965061,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,982461923,2026-06-28
lib-04034,librairie,Bulle En Stock,,4 Rue Du Marche Lanselles 80000 Amiens,80000,Amiens,80,,49.895496943,2.2977490358,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,432583292,2026-06-28
lib-04037,librairie,Stock En Bulle,,62 Route Nationale 80480 Dury,80480,Dury,80,,49.846451954,2.2717590889,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,830423174,2026-06-28
lib-04048,librairie,Sarl L'Antre Du Manga,,9 Rue Des Orfevres 80000 Amiens,80000,Amiens,80,,49.89625655,2.2985233512,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,491163200,2026-06-28
lib-04124,librairie,Bulle,,4 Rue Cyrus Hugues 83500 La Seyne-Sur-Mer,83500,La Seyne-Sur-Mer,83,,43.101584836,5.8813116087,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,489345678,2026-06-28
lib-04141,librairie,Sas Des Bulles (Sas Des Bulles),,Toulon 5 Pl Puget 83000 Toulon,83000,Toulon,83,,43.123340252,5.9326878283,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,809685290,2026-06-28
lib-04198,librairie,Gyoukai Manga,,134 Rue Jean Jaures 83000 Toulon,83000,Toulon,83,,43.1244841232245,5.92796229857301,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,522765114,2026-06-28
lib-04228,librairie,Quartier Otaku,,26 Rue Giraud 84120 Pertuis,84120,Pertuis,84,,43.692370641,5.4993447999,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,923107031,2026-06-28
lib-04262,librairie,Manga No Sekai,,3 Rue La Fayette 85000 La Roche-Sur-Yon,85000,La Roche-Sur-Yon,85,,46.6696428469614,-1.42790666227966,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,891465379,2026-06-28
lib-04289,librairie,Kizuna Manga,,3 Rue Saint Jean 86100 Chatellerault,86100,Chatellerault,86,,46.8190852919515,0.54435719533646,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,930243340,2026-06-28
lib-04295,librairie,Bulles D'Encre,,63 Rue De La Cathedrale 86000 Poitiers,86000,Poitiers,86,,46.5823000583539,0.344032921828423,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,408752616,2026-06-28
